"Kod";"Nazwa";"normalnotorowe ogółem;1999;[km]";"normalnotorowe ogółem;2000;[km]";"normalnotorowe ogółem;2001;[km]";"normalnotorowe ogółem;2002;[km]";"normalnotorowe ogółem;2003;[km]";"normalnotorowe ogółem;2004;[km]";"normalnotorowe ogółem;2005;[km]";"normalnotorowe ogółem;2006;[km]";"normalnotorowe ogółem;2007;[km]";"normalnotorowe ogółem;2008;[km]";"normalnotorowe ogółem;2009;[km]";"normalnotorowe ogółem;2010;[km]";"normalnotorowe ogółem;2011;[km]";"normalnotorowe ogółem;2012;[km]";"normalnotorowe ogółem;2013;[km]";"normalnotorowe ogółem;2014;[km]";"normalnotorowe ogółem;2015;[km]";"normalnotorowe ogółem;2016;[km]";"normalnotorowe ogółem;2017;[km]";"normalnotorowe ogółem;2018;[km]";"normalnotorowe ogółem;2019;[km]";"normalnotorowe ogółem;2020;[km]";"normalnotorowe ogółem;2021;[km]";"normalnotorowe ogółem;2022;[km]";"normalnotorowe ogółem;2023;[km]";"normalnotorowe ogółem;2024;[km]";
0000000;"POLSKA";21906;21575;20134;20729;20321;19906;19843;19763;19797;20007;20171;20089;20113;19979;19259;19240;19231;19132;19209;19235;19398;19422;19326;19394;19578;19663;
0200000;"DOLNOŚLĄSKIE";2042;1970;1861;1848;1797;1773;1766;1727;1730;1753;1765;1769;1779;1779;1763;1751;1727;1750;1736;1695;1718;1742;1776;1804;1817;1831;
0400000;"KUJAWSKO-POMORSKIE";1412;1412;1246;1276;1246;1271;1272;1272;1243;1302;1301;1259;1258;1276;1195;1196;1196;1199;1200;1200;1322;1199;1199;1199;1199;1199;
0600000;"LUBELSKIE";1054;1043;1048;1044;1049;1021;1021;1021;1025;1021;1039;1039;1041;1045;1027;1041;1042;1046;1047;1048;970;1092;1093;1097;1091;1100;
0800000;"LUBUSKIE";1245;1210;915;915;915;950;985;930;958;959;960;967;967;971;920;921;909;890;887;912;927;927;913;914;917;914;
1000000;"ŁÓDZKIE";1074;1074;1077;1087;1078;1061;1059;1056;1056;1056;1055;1063;1059;1055;1058;1068;1069;1080;1080;1081;1084;1079;1080;1080;1069;1086;
1200000;"MAŁOPOLSKIE";1141;1141;1149;1163;1143;1119;1116;1121;1108;1108;1130;1127;1131;1124;1121;1086;1087;1059;1077;1086;1083;1081;1080;1080;1081;1082;
1400000;"MAZOWIECKIE";1782;1782;1702;1699;1701;1709;1710;1707;1708;1746;1766;1683;1709;1712;1704;1677;1702;1712;1713;1716;1723;1716;1716;1726;1799;1795;
1600000;"OPOLSKIE";896;896;827;876;859;839;851;851;851;868;869;868;867;821;798;764;749;780;773;782;786;786;784;784;825;781;
1800000;"PODKARPACKIE";992;992;969;945;953;938;929;929;929;953;972;981;978;978;924;978;978;978;895;978;978;978;978;985;990;990;
2000000;"PODLASKIE";854;783;791;791;682;675;682;683;705;760;760;759;763;700;693;656;654;654;734;759;757;757;759;762;770;776;
2200000;"POMORSKIE";1511;1490;1350;1397;1325;1308;1259;1259;1241;1245;1233;1241;1238;1237;1214;1221;1218;1192;1275;1192;1194;1212;1212;1214;1244;1244;
2400000;"ŚLĄSKIE";2017;1918;1887;2335;2269;2125;2127;2145;2148;2141;2164;2155;2140;2076;1978;1977;1970;1964;1943;1943;1925;1912;1872;1868;1885;1892;
2600000;"ŚWIĘTOKRZYSKIE";722;722;722;722;722;707;707;707;707;707;722;722;721;721;696;721;721;721;721;721;721;722;722;727;720;727;
2800000;"WARMIŃSKO-MAZURSKIE";1461;1461;1326;1326;1326;1211;1209;1209;1209;1209;1207;1215;1238;1238;1078;1116;1138;1081;1084;1084;1138;1138;1091;1091;1099;1102;
3000000;"WIELKOPOLSKIE";2302;2295;2040;2025;2034;2022;1942;1943;1965;1965;2022;2038;2022;1992;1907;1884;1888;1878;1878;1872;1889;1892;1881;1892;1900;1900;
3200000;"ZACHODNIOPOMORSKIE";1401;1386;1224;1280;1222;1177;1208;1203;1214;1214;1206;1203;1202;1254;1183;1183;1183;1148;1166;1166;1183;1189;1170;1171;1172;1244;
