"wojewodztwo";"ogolem";"polski";"niepolski_razem";"angielski";"białoruski";"francuski";"kaszubski";"niemiecki";"romski";"rosyjski";"slaski";"ukrainski";"wloski";"inny";"nieustalony"
"POLSKA";38511824;37815606;948523;103541;26448;10677;108140;96461;14468;19805;529377;24539;10295;52380;519698
"Dolnośląskie";2915241;2862336;24362;8630;41;935;39;5303;1773;1603;315;1313;877;6162;50737
"Kujawsko-pomorskie";2097635;2073028;10912;5755;10;349;68;2336;1026;995;14;186;318;1206;23953
"Lubelskie";2175700;2149121;8566;3568;152;314;NA;984;698;956;6;816;723;1314;26001
"Lubuskie";1022843;1007678;7244;2261;29;189;NA;2418;240;540;25;419;298;1617;14619
"Łódzkie";2538677;2512787;12331;6254;69;412;NA;1580;1189;1058;70;238;406;2563;24744
"Małopolskie";3337471;3284405;23242;10947;74;1223;21;2597;1493;1327;412;628;1449;5446;50958
"Mazowieckie";5268660;5209359;45629;21394;353;3061;86;3531;1329;4708;378;2447;1617;12310;53376
"Opolskie";1016212;943054;150642;2490;NA;199;4;42211;899;377;116374;268;252;1069;21707
"Podkarpackie";2127286;2091612;10972;4398;7;542;NA;841;844;521;91;2498;879;1191;34677
"Podlaskie";1202365;1169703;40477;2765;25549;493;4;578;420;1524;NA;2052;302;8334;23329
"Pomorskie";2276174;2240139;122518;6697;87;558;107742;3856;51;1218;149;2128;495;1677;31016
"Śląskie";4630366;4466462;443524;11217;9;970;43;20933;1194;1880;411306;383;1200;4332;72514
"Świętokrzyskie";1280721;1266371;4279;2083;7;194;NA;709;379;287;22;127;366;424;14031
"Warmińsko-mazurskie";1452147;1427901;15264;3060;41;284;48;2047;704;778;29;7999;317;864;21966
"Wielkopolskie";3447441;3415380;15276;7485;19;711;28;3207;1464;1128;112;472;397;2174;30906
"Zachodniopomorskie";1722885;1696269;13288;4538;NA;243;57;3329;763;904;75;2567;398;1698;25164
