Kod;Nazwa;"linie komunikacji miejskiej;2024;[km]";"długość linii komunikacji miejskiej na 1000 mieszkańców;2024;[km]";"linie komunikacji miejskiej na wsi;2024;[km]";"linie autobusowe;2024;[km]";"linie tramwajowe;2024;[km]"
0;POLSKA;60729,6;1,6;15879,2;57716,2;2472,7
200000;DOLNOŚLĄSKIE;4895,8;1,7;1755,6;4608,1;287,7
400000;KUJAWSKO-POMORSKIE;2181,9;1,1;405,6;1956,6;225,3
600000;LUBELSKIE;2700,8;1,4;684,5;2500,1;0
800000;LUBUSKIE;1834,5;1,9;691,8;1804,7;29,8
1000000;ŁÓDZKIE;3446;1,5;700,4;3175,8;270,2
1200000;MAŁOPOLSKIE;5837;1,7;1975;5511,4;325,6
1400000;MAZOWIECKIE;5864,4;1,1;1203,9;5504,2;360,2
1600000;OPOLSKIE;794,6;0,9;219,7;794,6;0
1800000;PODKARPACKIE;3170,4;1,5;577,2;3170,4;0
2000000;PODLASKIE;1232;1,1;172,2;1232;0
2200000;POMORSKIE;3190,3;1,4;375,6;2815,7;171,6
2400000;ŚLĄSKIE;13695,8;3,2;2613,7;13159,3;399,5
2600000;ŚWIĘTOKRZYSKIE;1550,7;1,3;363,1;1550,7;0
2800000;WARMIŃSKO-MAZURSKIE;1464,1;1,1;427,3;1390,8;73,3
3000000;WIELKOPOLSKIE;6601,3;1,9;3206,6;6366,7;234,6
3200000;ZACHODNIOPOMORSKIE;2270;1,4;507;2175,1;94,9
