Region,Jezdziectwo,Jezdziectwo.k,Judo,Judo.k,Karate,Karate.k,Koszykowka,Koszykowka.k,Lekkoatletyka,Lekkoatletyka.k,Narciarstwo,Narciarstwo.k,Pilka_nozna,Pilka_nozna.k,Pilka_reczna,Pilka_reczna.k,Plywanie,Plywanie.k,Siatkowka,Siatkowka.k,Strzelectwo,Strzelectwo.k,Szachy,Szachy.k,Tenis,Tenis.k,Tenis_stolowy,Tenis_stolowy.k,Zeglarstwo,Zeglarstwo.k,PKB_mieszkanca,Liczba_ludnosci
Dolnośląskie,372,281,2178,680,5437,1958,3816,1300,3865,1954,330,190,41707,2471,2522,960,5151,2553,3735,2487,8844,948,2720,739,2528,781,1763,368,484,177,90915,2897737
Kujawsko-pomorskie,552,456,1035,273,2846,962,3160,1221,2820,1372,0,0,21262,1439,1734,860,4011,1821,3527,2375,2953,322,941,201,972,361,1538,435,503,127,66398,2017720
Lubelskie,236,203,644,169,2521,842,2234,789,1644,777,225,143,21436,1733,2168,851,3082,1467,4692,2506,4295,313,754,236,761,317,1843,524,121,44,54950,2038299
Lubuskie,184,163,962,265,1062,393,1522,811,1325,633,0,0,12501,558,746,246,829,359,1762,1024,2983,336,788,167,433,197,664,145,151,44,66300,985487
Łódzkie,348,267,1188,300,4097,1533,2756,1248,2749,1175,20,10,24537,1493,1482,619,3293,1601,5168,3136,4507,731,617,130,942,406,1488,430,57,25,76883,2394946
Małopolskie,1148,971,2259,707,5289,1871,3398,1283,2693,1309,1568,672,57345,3808,2569,1044,5474,2581,7934,4740,3226,286,2076,609,2084,898,2872,915,449,160,71836,3430370
Mazowieckie,674,565,10187,2586,9402,3581,8073,2444,7103,3656,114,58,45344,3344,4456,2118,8386,3856,10026,5387,21475,2165,1568,320,4338,1493,2656,762,789,240,75027,5512794
Opolskie,253,214,1125,281,1668,624,1194,400,1056,526,4,2,17013,1094,1045,357,867,399,1613,1001,1876,220,193,31,375,134,397,93,95,31,64600,948583
Podkarpackie,186,144,927,410,4250,1653,2495,924,2459,1216,597,258,39352,2250,1989,952,4597,2407,5568,3153,144,47,1801,430,703,268,1965,609,142,41,55155,2085932
Podlaskie,428,383,1055,227,1473,513,1793,633,1789,858,209,106,8939,724,1059,584,1545,759,2113,1177,15964,746,610,167,268,97,768,253,385,138,59667,1148720
Polska,6977,5804,34789,10166,57619,21455,44649,16599,44127,21681,3632,1660,435462,28195,32031,13616,57242,27408,72014,42261,87637,8347,19683,4972,20309,7759,23804,6899,9313,3112,81286,37907704
Pomorskie,452,379,3021,901,3721,1389,2006,692,2981,1285,7,4,18695,1533,2755,1273,2163,1024,3625,2404,5599,421,924,214,1108,380,1159,340,1973,626,80999,2358726
Śląskie,564,494,5422,1652,6587,2486,3861,1450,3863,1985,438,176,49385,3023,2336,1081,7684,3869,8593,5037,2807,329,2342,586,1576,705,2199,668,1298,519,85316,4375947
Świętokrzyskie,172,123,193,39,1410,611,325,125,605,286,8,4,9073,415,1215,328,1078,514,1557,828,135,40,656,169,171,58,496,109,50,12,56860,1187693
Warmińsko-mazurskie,442,383,741,177,1140,423,1335,572,1325,695,12,7,11982,672,944,401,1490,672,2203,1241,2895,340,633,128,566,210,715,295,508,217,56106,1374699
Wielkopolskie,689,540,3115,1302,3853,1526,5018,2150,4997,2457,100,30,39702,2491,3597,1404,5256,2512,6635,3678,8110,874,2097,616,2587,1095,2441,746,1526,509,85841,3500030
Zachodniopomorskie,277,238,737,197,2863,1090,1663,557,2853,1497,0,0,17189,1147,1414,538,2336,1014,3263,2087,1824,229,963,229,897,359,840,207,782,202,66476,1650021
