Team,Summer Gold,Summer Silver,Summer Bronze,Summer Total
Afghanistan,0,0,2,2
Albania,0,0,2,2
Algeria,7,4,9,20
Argentina,22,27,31,80
Armenia,2,11,9,22
Australasia,3,4,5,12
Australia,182,192,226,600
Austria,22,35,44,101
Azerbaijan,9,16,31,56
Bahamas,8,2,6,16
Bahrain,4,3,1,8
Barbados,0,0,1,1
Belarus,13,30,42,85
Belgium,47,57,63,167
Bermuda,1,0,1,2
Bohemia,0,1,3,4
Botswana,1,2,1,4
Brazil,40,49,81,170
British West Indies,0,0,2,2
Bulgaria,57,89,85,231
Burkina Faso,0,0,1,1
Burundi,1,1,0,2
Cameroon,3,1,2,6
Canada,80,117,156,353
Cape Verde,0,0,1,1
Chile,3,8,4,15
China,303,226,198,727
Colombia,5,16,17,38
Costa Rica,1,1,2,4
Ivory Coast,1,1,3,5
Croatia,16,15,17,48
Cuba,86,70,88,244
Cyprus,0,2,0,2
Czech Republic,22,22,28,72
Czechoslovakia,49,49,45,143
Denmark,50,80,84,214
Djibouti,0,0,1,1
Dominica,1,0,0,1
Dominican Republic,4,5,6,15
Ecuador,4,4,2,10
Egypt,9,12,20,41
Eritrea,0,0,1,1
Estonia,10,9,17,36
Ethiopia,24,15,23,62
Fiji,2,1,1,4
Finland,101,85,119,305
France,239,277,299,815
Gabon,0,1,0,1
Georgia,13,15,19,47
Germany,213,220,255,688
United Team of Germany,28,54,36,118
East Germany,153,129,127,409
West Germany,56,67,81,204
Ghana,0,1,4,5
Great Britain,298,339,343,980
Greece,36,46,47,129
Grenada,1,1,3,5
Guatemala,1,1,1,3
Guyana,0,0,1,1
Haiti,0,1,1,2
Hong Kong,4,3,6,13
Hungary,187,161,182,530
Iceland,0,2,2,4
India,10,10,21,41
Indonesia,10,14,16,40
Iran,27,29,32,88
Iraq,0,0,1,1
Ireland,15,10,17,42
Israel,4,6,10,20
Italy,229,201,228,658
Jamaica,27,39,28,94
Japan,189,162,191,542
Jordan,1,2,1,4
Kazakhstan,15,25,38,78
Kenya,39,44,41,124
Kosovo,3,1,1,5
North Korea,16,18,27,61
South Korea,109,100,111,320
Kuwait,0,0,3,3
Kyrgyzstan,0,5,8,13
Latvia,4,11,6,21
Lebanon,0,2,2,4
Liechtenstein,0,0,0,0
Lithuania,6,9,15,30
Luxembourg,2,1,0,3
Malaysia,0,8,7,15
Mauritius,0,0,1,1
Mexico,13,27,37,77
Moldova,0,3,7,10
Mongolia,2,12,17,31
Montenegro,0,1,0,1
Morocco,8,5,13,26
Mozambique,1,0,1,2
Namibia,0,5,0,5
Netherlands,110,112,134,356
Netherlands Antilles,0,1,0,1
New Zealand,63,40,54,157
Niger,0,1,1,2
Nigeria,3,11,13,27
North Macedonia (MKD),0,1,1,2
Norway,65,53,53,171
Pakistan,4,3,4,11
Panama,1,1,2,4
Paraguay,0,1,0,1
Peru,1,3,1,5
Philippines,3,5,10,18
Poland,73,93,142,308
Portugal,6,11,15,32
Puerto Rico,2,2,8,12
Qatar,2,2,5,9
Refugee Olympic Team,0,0,1,1
Romania,93,101,123,317
Russia,147,125,150,422
Russian Empire,1,4,3,8
Soviet Union,395,319,296,1010
Unified Team,45,38,29,112
Olympic Athletes from Russia,0,0,0,0
ROC (ROC),20,28,23,71
Samoa,0,1,0,1
Saint Lucia,1,1,0,2
San Marino,0,1,2,3
Saudi Arabia,0,2,2,4
Senegal,0,1,0,1
Serbia,9,8,12,29
Serbia and Montenegro,2,4,3,9
Singapore,1,2,3,6
Slovakia,10,14,9,33
Slovenia,10,10,11,31
South Africa,28,36,31,95
Spain,53,76,58,187
Sri Lanka,0,2,0,2
Sudan,0,1,0,1
Suriname,1,0,1,2
Sweden,151,181,182,514
Switzerland,54,81,79,214
Syria,1,1,2,4
Chinese Taipei,9,11,23,43
Tajikistan,1,1,5,7
Tanzania,0,2,0,2
Thailand,11,11,19,41
Togo,0,0,1,1
Tonga,0,1,0,1
Trinidad and Tobago,3,5,11,19
Tunisia,6,4,8,18
Turkey,41,29,41,111
Turkmenistan,0,1,0,1
Uganda,5,5,3,13
Ukraine,38,41,72,151
United Arab Emirates,1,0,1,2
United States,1105,879,781,2765
Uruguay,2,2,6,10
Uzbekistan,18,8,23,49
Venezuela,3,7,9,19
Vietnam,1,3,1,5
Virgin Islands,0,1,0,1
Yugoslavia,26,29,28,83
Zambia,0,1,2,3
Zimbabwe,3,4,1,8
Individual Neutral Athletes,1,3,1,5
Independent Olympic Athletes,1,0,1,2
Independent Olympic Participants,0,1,2,3
Mixed team,11,6,8,25
