Team,Winter Gold,Winter Silver,Winter Bronze,Winter Total
Afghanistan,0,0,0,0
Albania,0,0,0,0
Algeria,0,0,0,0
Argentina,0,0,0,0
Armenia,0,0,0,0
Australasia,0,0,0,0
Australia,6,7,6,19
Austria,71,88,91,250
Azerbaijan,0,0,0,0
Bahamas,0,0,0,0
Bahrain,0,0,0,0
Barbados,0,0,0,0
Belarus,8,7,5,20
Belgium,2,2,4,8
Bermuda,0,0,0,0
Bohemia,0,0,0,0
Botswana,0,0,0,0
Brazil,0,0,0,0
British West Indies,0,0,0,0
Bulgaria,1,2,3,6
Burkina Faso,0,0,0,0
Burundi,0,0,0,0
Cameroon,0,0,0,0
Canada,77,72,76,225
Cape Verde,0,0,0,0
Chile,0,0,0,0
China,22,32,23,77
Colombia,0,0,0,0
Costa Rica,0,0,0,0
Ivory Coast,0,0,0,0
Croatia,4,6,1,11
Cuba,0,0,0,0
Cyprus,0,0,0,0
Czech Republic,10,11,13,34
Czechoslovakia,2,8,15,25
Denmark,0,1,0,1
Djibouti,0,0,0,0
Dominica,0,0,0,0
Dominican Republic,0,0,0,0
Ecuador,0,0,0,0
Egypt,0,0,0,0
Eritrea,0,0,0,0
Estonia,4,2,2,8
Ethiopia,0,0,0,0
Fiji,0,0,0,0
Finland,45,65,65,175
France,41,42,55,138
Gabon,0,0,0,0
Georgia,0,0,0,0
Germany,104,98,65,267
United Team of Germany,8,6,5,19
East Germany,39,36,35,110
West Germany,11,15,13,39
Ghana,0,0,0,0
Great Britain,12,5,17,34
Greece,0,0,0,0
Grenada,0,0,0,0
Guatemala,0,0,0,0
Guyana,0,0,0,0
Haiti,0,0,0,0
Hong Kong,0,0,0,0
Hungary,2,2,6,10
Iceland,0,0,0,0
India,0,0,0,0
Indonesia,0,0,0,0
Iran,0,0,0,0
Iraq,0,0,0,0
Ireland,0,0,0,0
Israel,0,0,0,0
Italy,42,43,56,141
Jamaica,0,0,0,0
Japan,17,29,30,76
Jordan,0,0,0,0
Kazakhstan,1,3,4,8
Kenya,0,0,0,0
Kosovo,0,0,0,0
North Korea,0,1,1,2
South Korea,33,30,16,79
Kuwait,0,0,0,0
Kyrgyzstan,0,0,0,0
Latvia,1,3,6,10
Lebanon,0,0,0,0
Liechtenstein,2,2,6,10
Lithuania,0,0,0,0
Luxembourg,0,2,0,2
Malaysia,0,0,0,0
Mauritius,0,0,0,0
Mexico,0,0,0,0
Moldova,0,0,0,0
Mongolia,0,0,0,0
Montenegro,0,0,0,0
Morocco,0,0,0,0
Mozambique,0,0,0,0
Namibia,0,0,0,0
Netherlands,53,49,45,147
Netherlands Antilles,0,0,0,0
New Zealand,2,2,2,6
Niger,0,0,0,0
Nigeria,0,0,0,0
North Macedonia (MKD),0,0,0,0
Norway,148,134,123,405
Pakistan,0,0,0,0
Panama,0,0,0,0
Paraguay,0,0,0,0
Peru,0,0,0,0
Philippines,0,0,0,0
Poland,7,7,9,23
Portugal,0,0,0,0
Puerto Rico,0,0,0,0
Qatar,0,0,0,0
Refugee Olympic Team,0,0,0,0
Romania,0,0,1,1
Russia,46,39,35,120
Russian Empire,0,0,0,0
Soviet Union,78,57,59,194
Unified Team,9,6,8,23
Olympic Athletes from Russia,2,6,9,17
ROC (ROC),5,12,15,32
Samoa,0,0,0,0
Saint Lucia,0,0,0,0
San Marino,0,0,0,0
Saudi Arabia,0,0,0,0
Senegal,0,0,0,0
Serbia,0,0,0,0
Serbia and Montenegro,0,0,0,0
Singapore,0,0,0,0
Slovakia,4,4,2,10
Slovenia,4,8,12,24
South Africa,0,0,0,0
Spain,1,1,3,5
Sri Lanka,0,0,0,0
Sudan,0,0,0,0
Suriname,0,0,0,0
Sweden,65,51,60,176
Switzerland,63,47,58,168
Syria,0,0,0,0
Chinese Taipei,0,0,0,0
Tajikistan,0,0,0,0
Tanzania,0,0,0,0
Thailand,0,0,0,0
Togo,0,0,0,0
Tonga,0,0,0,0
Trinidad and Tobago,0,0,0,0
Tunisia,0,0,0,0
Turkey,0,0,0,0
Turkmenistan,0,0,0,0
Uganda,0,0,0,0
Ukraine,3,2,4,9
United Arab Emirates,0,0,0,0
United States,114,121,95,330
Uruguay,0,0,0,0
Uzbekistan,1,0,0,1
Venezuela,0,0,0,0
Vietnam,0,0,0,0
Virgin Islands,0,0,0,0
Yugoslavia,0,3,1,4
Zambia,0,0,0,0
Zimbabwe,0,0,0,0
Individual Neutral Athletes,0,0,0,0
Independent Olympic Athletes,0,0,0,0
Independent Olympic Participants,0,0,0,0
Mixed team,0,0,0,0
